1368,瀹茶法,【瀹茶法】明太祖朱元璋将明以前的团饼茶改为散茶后，茶的品饮在民间得到发展，民间将散茶放入茶盏或茶壶中直接用沸水冲泡。此法叫淪茶法，也称泡茶法。比之煎茶、点茶更加便利。
1391,废团改散,【废团改散】明太祖朱元璋将以前的团茶改为芽茶(散茶），促进了茶叶平民化
1392,都给朕喝散茶,"【都给朕喝散茶】朱元璋将团茶改为散茶，茶叶开始平民化,这期间都是绿茶，还没有红茶的出现。"
1503,红茶意外出世,【明朝中后期，糟糕，不能要了的绿茶】一支北方军队路过桐木关，占驻茶厂，进)的茶青，无法及时烘干，积压发酵发生变色。【也许，还能挽救一下?】厂主心急如焚，赶紧用当地取暖用的马尾松进行烘干，并用松香味掩盖那特殊的“环味”。【死马当活马医吧】之后运往福州，这种产品国人是不会要了，那就托人卖到国外吧。【意外的“回购”】谁知到了第二年，竟然有人找上门来，专门订购那种带有松香味的茶叶。
1580,东西方的相遇,【东西方的相遇】传教士范礼安到达日本并记录了日本的饮茶习惯，这是西方对茶的初始印象
1599,丝绸之路,【丝绸之路】中国茶随着古代丝绸之路传入威尼斯、波斯以及俄国，但还未被西方接受
1610,传入欧洲,【传入欧洲】荷兰人自澳门贩茶，并转运入欧，后来的欧洲红茶据考证即为武夷出建山小种
1612,中国茶的西方之旅,【中国茶的西方之旅】明朝嘉靖帝将澳门租借给葡萄牙，开始了东西方的贸易，茶由荷兰船只带入荷兰
1640,BOHEA TEA(武夷茶),【BOHEA TEA(武夷茶)】明末崇祯十三年（1640年），红茶（有工夫茶、武夷茶、小种茶、白毫等）始由荷兰转至英国。-《清代通史》
1606,东印度公司记载，茶进入欧洲。,根据《东印度公司对华贸易编年史》记载自公元（1606年）茶伴随丝绸、锦缎和香料等贸易进入欧洲。
1600,葡萄牙人与荷兰殖民者,葡萄牙人在欧洲第一个喝上中国茶叶，荷兰殖民者将茶叶推广至整个欧洲。
