-2700,【茶的最早发现】陆羽《茶经》中说“茶之为饮，发乎神农氏”相传在公元前2700多年前的神农时代，神农为普济众生，常百草，采草药。有一天尝到一种草叶，使他口干舌燥，头晕目眩。于是背靠旁边的大树坐下休息，突然，一阵风过，传来一种清鲜香气，抬头望去树上绿叶葱茏。神农信手摘下一片放入只中咀嚼，味出苦，继而清香甘甜，食后更觉气味清香，舌底生津，精神爽朗，头晕目眩减轻，口干舌燥渐渐消失。神农遂名为“茶”，这便是茶的最早发现。
-1200,种植茶树，茶叶制作出现
-1046,史上第一次贡茶和史上最早茶叶史料。公元前1046年，武王伐纣。周武王伐纣后，巴国以茶与其它珍贵产品纳贡，这是最早史料记载的史上第一次贡茶。同时，记载里巴国就有人工栽培茶树的茶园了。距今已3067年。
-1024,【闻于鲁周公】《茶经》记载，“茶之为饮，发乎神农氏，闻于鲁周公”说明周代既有茶出现
-770,【茶入中原】春秋时代，茶叶用作祭品和蔬菜。随着大规模战争和人口迁徙，茶由巴蜀传入中原
-200,茶叶首次被文字记载
-157,汉阳陵出土最早遗存茶叶实物，距今2150年之久。这是实证的汉代皇室御用茶叶，更是确证汉代皇室饮用茶芽。这意味着饮茶方式、制茶方式、储存方式的重要变革，对后世制茶饮茶有着极为深远的影响。
-119,史上最早的茶叶向外传播。公元前119年，汉代张骞第二次出使中西亚，携带有茶叶。公元前108年，汉武帝征服朝鲜，将茶叶传入日本福冈。这是最早史料记载的茶叶向外传播行为，距今已2220年。
-59,汉代武都茶叶市场：史上第一家茶叶交易市场。公元前59年，西汉蜀郡王褒与杨惠签署《僮约》购买仆人，并在契约中进行了超过一百项的工作约定。其中有两处涉及到茶：烹荼尽具、武都买荼。武都，在四川眉山地区，这是最早记载的史上第一家茶叶交易市场。距今已2079年。
-22,【蜀之贡品】武王伐纣以后，巴蜀为封国，文献记载就有茶叶为贡品的记载
2,【茶风初成】汉朝，茶叶成为一种商品，供贵族饮用。初始的茶叶集散市场开始形成。“武阳卖茶”“烹茶尽具”——王褒《僮约》
